station,rides,share_of_valid_trips
W 21 St & 6 Ave,8325,0.004413848828461134
1 Ave & E 68 St,6568,0.003482301394033961
8 Ave & W 31 St,6343,0.0033630081824539302
W 31 St & 7 Ave,6027,0.003195467494190421
E 33 St & 1 Ave,5903,0.003129723679808537
Ave A & E 14 St,5881,0.0031180594546762674
Broadway & W 25 St,5815,0.0030830667792794584
Lafayette St & E 8 St,5697,0.0030205041172063755
W 41 St & 8 Ave,5450,0.0028895466804940754
Broadway & W 58 St,5312,0.0028163801773916568
Broadway & E 14 St,5259,0.002788279998663916
University Pl & E 14 St,5222,0.0027686628927596443
E 17 St & Broadway,5090,0.0026986775419660263
W 20 St & 10 Ave,5019,0.0026610339063118833
6 Ave & W 33 St,4976,0.002638235648098811
