lag_hours,autocorrelation,lag_family
1,0.8936514121330451,short lag
2,0.6801095816428354,short lag
3,0.4675145953694856,short lag
4,0.2863355007042813,other lag
5,0.1316080807299522,other lag
6,0.001998904289402498,short lag
7,-0.09789870608659926,other lag
8,-0.1586444421116918,other lag
9,-0.19771025150731247,other lag
10,-0.2661277160127714,other lag
11,-0.35400462393070703,other lag
12,-0.40171019735204205,short lag
13,-0.3762103563597348,other lag
14,-0.3047220394195029,other lag
15,-0.23974273536209764,other lag
16,-0.19154525284887788,other lag
17,-0.1255263183078608,other lag
18,-0.032125848940314276,other lag
19,0.07922905789138875,other lag
20,0.20363730517349257,other lag
21,0.34469645886662825,other lag
22,0.5085687373637442,other lag
23,0.6725897015715873,other lag
24,0.7532560014245543,daily seasonal lag
25,0.6739768504588682,other lag
26,0.5093528188797797,other lag
27,0.3415637821313841,other lag
28,0.19368770121160728,other lag
29,0.06250055895048838,other lag
30,-0.052090697938243086,other lag
31,-0.14697747270473735,other lag
32,-0.21700334600546994,other lag
33,-0.27348664457112504,other lag
34,-0.3543029282553085,other lag
35,-0.44431213732995506,other lag
36,-0.4925463443139094,other lag
37,-0.4725483922189306,other lag
38,-0.40293595681209704,other lag
39,-0.3199994142736301,other lag
40,-0.23277778275484576,other lag
41,-0.13047571837436156,other lag
42,-0.016114366345189986,other lag
43,0.09924516774535262,other lag
44,0.2142583035819253,other lag
45,0.3318492457507473,other lag
46,0.45404926898563464,other lag
47,0.5655323624533023,other lag
48,0.6156949097621128,daily seasonal lag
49,0.5607500082804302,other lag
50,0.4484694398154379,other lag
51,0.32860275592039606,other lag
52,0.2118869551425354,other lag
53,0.09791356139585645,other lag
54,-0.009825398746763435,other lag
55,-0.11126830201273678,other lag
56,-0.20257694355237288,other lag
57,-0.2862508733606803,other lag
58,-0.3821707077568735,other lag
59,-0.4732158175142107,other lag
60,-0.5196306323436252,other lag
61,-0.501326761789911,other lag
62,-0.4337761419082406,other lag
63,-0.3436887828119947,other lag
64,-0.24292130154492403,other lag
65,-0.13197608370356687,other lag
66,-0.017680651153686958,other lag
67,0.09392660267162453,other lag
68,0.20281259676922944,other lag
69,0.3089976184171273,other lag
70,0.41222508861233564,other lag
71,0.5001584639921661,other lag
72,0.5377196681068591,daily seasonal lag
73,0.4971047420135363,other lag
74,0.40652042853085923,other lag
75,0.30007768963625603,other lag
76,0.18880229129926884,other lag
77,0.07732175419485104,other lag
78,-0.030379000815956268,other lag
79,-0.13639878828376004,other lag
80,-0.23552722723442532,other lag
81,-0.3271452614381385,other lag
82,-0.41644985713511873,other lag
83,-0.49036354104426366,other lag
84,-0.5191293857996755,other lag
85,-0.484180843220309,other lag
86,-0.4032789184962058,other lag
87,-0.30892398945288646,other lag
88,-0.2177725628109214,other lag
89,-0.12111169222206879,other lag
90,-0.01847822907616836,other lag
91,0.08512863145070479,other lag
92,0.18878754253321678,other lag
93,0.29095596129048595,other lag
94,0.3929729618439003,other lag
95,0.48482503464692056,other lag
96,0.5298392872831196,daily seasonal lag
97,0.4925079349144138,other lag
98,0.40083290915263287,other lag
99,0.29203917516539724,other lag
100,0.17908778266231973,other lag
101,0.06632690646011842,other lag
102,-0.044005241640903824,other lag
103,-0.15319730119112335,other lag
104,-0.2535900843165953,other lag
105,-0.3438947393184343,other lag
106,-0.42884567215893676,other lag
107,-0.49832484765577467,other lag
108,-0.5216324168831444,other lag
109,-0.480434554824729,other lag
110,-0.3936720144877524,other lag
111,-0.3020414537033951,other lag
112,-0.2260630057000018,other lag
113,-0.1438146830139276,other lag
114,-0.04967017084727159,other lag
115,0.05242699458595256,other lag
116,0.16128365725438232,other lag
117,0.2745554562252897,other lag
118,0.3955448026374213,other lag
119,0.512116599665279,other lag
120,0.5707138300434578,daily seasonal lag
121,0.5181346206052013,other lag
122,0.4000316903718097,other lag
123,0.269535067631665,other lag
124,0.14428009397275415,other lag
125,0.02603511911730569,other lag
126,-0.0832147760752547,other lag
127,-0.18094991166133936,other lag
128,-0.25969944829076924,other lag
129,-0.3235369129617223,other lag
130,-0.39088026363421063,other lag
131,-0.4548592957388615,other lag
132,-0.47721586284490974,other lag
133,-0.4360290436126462,other lag
134,-0.3563324488511036,other lag
135,-0.2862700683582549,other lag
136,-0.24123870047790055,other lag
137,-0.18383689786193635,other lag
138,-0.10163161047790338,other lag
139,-0.002156512570543195,other lag
140,0.1126529129211729,other lag
141,0.24466275168795745,other lag
142,0.3996371471235545,other lag
143,0.5586432453647209,other lag
144,0.6430304411352601,daily seasonal lag
145,0.5749366511501868,other lag
146,0.42224770812221396,other lag
147,0.2637395056394075,other lag
148,0.12322500613970447,other lag
149,-0.0019230071887869305,other lag
150,-0.11038457691573939,other lag
151,-0.19789431950131037,other lag
152,-0.25574571799261925,other lag
153,-0.2934958138317263,other lag
154,-0.35018951024039274,other lag
155,-0.41813794262461706,other lag
156,-0.4478026955898771,other lag
157,-0.41180073290962116,other lag
158,-0.33647494695156127,other lag
159,-0.27400855436110916,other lag
160,-0.23661271997863734,other lag
161,-0.18486293828826955,other lag
162,-0.10455768957895861,other lag
163,-0.0009880571322874964,other lag
164,0.12264697557405782,other lag
165,0.268231032836179,other lag
166,0.4413760769886758,other lag
167,0.6187273789780748,other lag
168,0.7099327760687889,weekly seasonal lag
