feature,concept,correlation_with_rides,abs_correlation
lag_1h,short-memory lag,0.8936514121330451,0.8936514121330451
lag_24h,daily seasonal lag,0.7532560014245543,0.7532560014245543
rolling_3h_mean,rolling feature,0.7246033007576995,0.7246033007576995
lag_168h,weekly seasonal lag,0.7099327760687889,0.7099327760687889
lag_2h,short-memory lag,0.6801095816428354,0.6801095816428354
lag_48h,daily seasonal lag,0.6156949097621128,0.6156949097621128
lag_72h,daily seasonal lag,0.5377196681068591,0.5377196681068591
rolling_6h_mean,rolling feature,0.4961288265089124,0.4961288265089124
lag_3h,short-memory lag,0.4675145953694856,0.4675145953694856
lag_12h,same-day lag,-0.40171019735204205,0.40171019735204205
temperature_c,exogenous weather,0.3509876107220533,0.3509876107220533
rolling_24h_mean,rolling feature,0.26652128978463935,0.26652128978463935
precipitation_mm,exogenous weather,-0.1963289721547298,0.1963289721547298
rolling_12h_mean,rolling feature,0.13326741960589916,0.13326741960589916
snowfall_cm,exogenous weather,-0.11285976295469535,0.11285976295469535
wind_speed_kmh,exogenous weather,-0.10039128227771998,0.10039128227771998
rolling_168h_mean,rolling feature,0.08129062649815857,0.08129062649815857
lag_6h,same-day lag,0.001998904289402498,0.001998904289402498
