month,source_url,archive_file,archive_size_mb,rows_total,rows_valid,rows_valid_fixed_window,rows_with_station_id,valid_rate,station_id_coverage,first_started_at,last_started_at,valid_rides_in_fixed_window
2024-01,https://s3.amazonaws.com/tripdata/202401-citibike-tripdata.zip,202401-citibike-tripdata.zip,369.04,1888085,1886109,1885763,1884605,0.9989534369480187,0.9993859249545144,2023-12-31 21:40:09.191000,2024-01-31 23:58:30.270000,1885763
2024-02,https://s3.amazonaws.com/tripdata/202402-citibike-tripdata.zip,202402-citibike-tripdata.zip,414.71,2121501,2119759,2119575,2117726,0.9991788832529421,0.9991276553082575,2024-01-31 22:48:25.745000,2024-02-29 23:56:05.845000,2119575
2024-03,https://s3.amazonaws.com/tripdata/202403-citibike-tripdata.zip,202403-citibike-tripdata.zip,520.75,2663295,2660492,2660295,2657545,0.998947544301326,0.9989662800554074,2024-02-29 20:45:47.554000,2024-03-31 23:57:16.025000,2660295
2024-04,https://s3.amazonaws.com/tripdata/202404-citibike-tripdata.zip,202404-citibike-tripdata.zip,629.57,3217063,3213017,3212741,3210295,0.9987423311262478,0.9992386563373767,2024-03-31 20:24:19.924000,2024-04-30 23:57:38.389000,3212741
2024-05,https://s3.amazonaws.com/tripdata/202405-citibike-tripdata.zip,202405-citibike-tripdata.zip,809.1,4133961,4127680,4127472,4125840,0.9984806339488931,0.9996046005884474,2024-04-30 22:20:00.424000,2024-05-31 23:57:37.555000,4127472
2024-06,https://s3.amazonaws.com/tripdata/202406-citibike-tripdata.zip,202406-citibike-tripdata.zip,936.05,4783576,4775760,4774584,4772867,0.9983660759231169,0.9996403875185775,2024-05-31 20:02:32.195000,2024-06-30 23:57:45.666000,4774584
2024-07,https://s3.amazonaws.com/tripdata/202407-citibike-tripdata.zip,202407-citibike-tripdata.zip,923.32,4722896,4715602,4715001,4712405,0.998455608592694,0.9994494168718098,2024-06-30 20:27:15.894000,2024-07-31 23:57:41.895000,4715001
2024-08,https://s3.amazonaws.com/tripdata/202408-citibike-tripdata.zip,202408-citibike-tripdata.zip,900.04,4603575,4596258,4595634,4592702,0.9984105830794545,0.9993620031534278,2024-07-31 20:24:12.663000,2024-08-31 23:57:12.197000,4595634
2024-09,https://s3.amazonaws.com/tripdata/202409-citibike-tripdata.zip,202409-citibike-tripdata.zip,976.53,4997898,4991804,4990909,4986473,0.9987806874009834,0.9991111839546664,2024-08-31 20:38:32.539000,2024-09-30 23:58:48.114000,4990909
2024-10,https://s3.amazonaws.com/tripdata/202410-citibike-tripdata.zip,202410-citibike-tripdata.zip,1006.6,5150054,5144572,5144133,5139560,0.9989355451418568,0.9991110260951651,2024-09-30 21:13:48.466000,2024-10-31 23:57:26.851000,5144133
2024-11,https://s3.amazonaws.com/tripdata/202411-citibike-tripdata.zip,202411-citibike-tripdata.zip,724.35,3710134,3706689,3705679,3703384,0.9990714621089157,0.9993806803017746,2024-10-31 20:16:02.552000,2024-11-30 23:57:20.052000,3705679
2024-12,https://s3.amazonaws.com/tripdata/202412-citibike-tripdata.zip,202412-citibike-tripdata.zip,450.81,2311171,2310074,2309821,2308709,0.9995253488383161,0.9995185774135745,2024-11-30 22:42:30.452000,2024-12-31 23:57:46.390000,2309821
